VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750,145080,3811251.600000111,142049.0,5101919.510000559,35.916616871646816,260999.2000000145,68601.68000000001,1290667.9100004476,25.2976925149551,0.9791080783016267,1.338646734841754
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750,164038,3804041.2199999536,160247.0,4819073.490000401,30.07278445150549,294438.6600000097,144929.24,1015032.270000447,21.0628095235867,0.9768895012131336,1.2668299871893762
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750,187407,3418303.680000034,187140.0,4538120.600000365,24.24986961633197,343854.07000000787,123780.21999999997,1119816.9200003305,24.6757858308182,0.9985752933454993,1.3275943347433425
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750,201682,3261197.94000002,200412.0,4475972.880000464,22.333856655292415,368242.8000000149,257032.07000000007,1214774.9400004437,27.1399084080312,0.9937029581221923,1.3724934709116234
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750,138109,3023206.0099999965,135838.0,4223107.620000436,31.0892947481591,249587.83000001253,257032.07000000007,1199901.6100004395,28.412764200414,0.9835564662693959,1.3968970708683002
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750,138809,2466635.930000039,141860.0,3383912.4000005093,23.853886930780412,111699.18999999705,89286.26999999999,917276.4700004705,27.1069803698326,1.0219798428055817,1.3718734730343671
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750,70783,2177285.0800000825,69627.0,2773367.729999988,39.83178551423999,127931.66999998408,123780.21999999997,596082.6499999054,21.4930982124,0.9836683949535906,1.2737733590678364
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750,161386,2088334.8399999859,148265.0,2592041.349999925,17.482489798670795,272422.6000000083,257032.07000000007,503706.50999993924,19.4328115174534,0.9186980283295949,1.2412000701956123
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750,91835,1903739.5499999446,90481.0,2640491.190000111,29.182825012987376,166244.44000000262,257032.07000000007,736751.6400001661,27.9020677209734,0.9852561659498013,1.3870023291790032
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750,108866,1773427.139999997,107061.0,2435393.38999984,22.747717562883217,196707.35000000568,123880.96999999999,661966.2499998428,27.1810809998087,0.9834199842007606,1.373269493326827
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750,93205,1530426.1000000215,91247.0,2148965.5299997157,23.551081460209275,71840.57000000637,123780.21999999997,618539.4299996942,28.7831247809627,0.9789925433184915,1.4041615795755742
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750,66942,1498161.9600000305,61433.0,1840615.669999787,29.96135090260588,112875.18999998401,257032.07000000007,342453.7099997564,18.6053892499892,0.917704878850348,1.2285825692702472
